name,description,price,teacher
Python Programming,Learn Python programming from scratch with hands-on projects. This course covers basic to advanced Python concepts including OOP and web development.,750000,2
Web Development,Comprehensive web development course covering HTML CSS JavaScript and modern frameworks. Perfect for beginners wanting to become full-stack developers.,850000,3
Data Science Basics,Introduction to data science using Python. Learn data analysis visualization and basic machine learning concepts.,950000,4
Advanced Python,Deep dive into advanced Python concepts including decorators generators and metaprogramming. For experienced Python developers.,1250000,2
Database Design,Learn database design principles SQL and working with various database systems. Essential for backend developers.,650000,5
Machine Learning,Comprehensive machine learning course covering supervised and unsupervised learning algorithms using Python.,1450000,4
Network Programming,Learn network programming with Python. Build clients servers and work with various network protocols.,850000,6
Python Web Frameworks,Master popular Python web frameworks like Django and Flask. Build real-world web applications.,950000,2
Cloud Computing Basics,Introduction to cloud computing concepts and working with major cloud providers.,750000,7
DevOps with Python,Learn DevOps practices and automation using Python. Covers CI/CD containers and infrastructure as code.,1150000,8
